Id,Category,Title,Published,Abstract,URL
2308.14752v1,cs.CY,"AI Deception: A Survey of Examples, Risks, and Potential Solutions",2023-08-28 17:59:35+00:00,"This paper argues that a range of current AI systems have learned how to
deceive humans. We define deception as the systematic inducement of false
beliefs in the pursuit of some outcome other than the truth. We first survey
empirical examples of AI deception, discussing both special-use AI systems
(including Meta's CICERO) built for specific competitive situations, and
general-purpose AI systems (such as large language models). Next, we detail
several risks from AI deception, such as fraud, election tampering, and losing
control of AI systems. Finally, we outline several potential solutions to the
problems posed by AI deception: first, regulatory frameworks should subject AI
systems that are capable of deception to robust risk-assessment requirements;
second, policymakers should implement bot-or-not laws; and finally,
policymakers should prioritize the funding of relevant research, including
tools to detect AI deception and to make AI systems less deceptive.
Policymakers, researchers, and the broader public should work proactively to
prevent AI deception from destabilizing the shared foundations of our society.",http://arxiv.org/pdf/2308.14752v1
2308.14737v1,cs.CV,Flexible Techniques for Differentiable Rendering with 3D Gaussians,2023-08-28 17:38:31+00:00,"Fast, reliable shape reconstruction is an essential ingredient in many
computer vision applications. Neural Radiance Fields demonstrated that
photorealistic novel view synthesis is within reach, but was gated by
performance requirements for fast reconstruction of real scenes and objects.
Several recent approaches have built on alternative shape representations, in
particular, 3D Gaussians. We develop extensions to these renderers, such as
integrating differentiable optical flow, exporting watertight meshes and
rendering per-ray normals. Additionally, we show how two of the recent methods
are interoperable with each other. These reconstructions are quick, robust, and
easily performed on GPU or CPU. For code and visual examples, see
https://leonidk.github.io/fmb-plus",http://arxiv.org/pdf/2308.14737v1
2308.14732v1,cs.AI,Bayesian artificial brain with ChatGPT,2023-08-28 17:34:24+00:00,"This paper aims to investigate the mathematical problem-solving capabilities
of Chat Generative Pre-Trained Transformer (ChatGPT) in case of Bayesian
reasoning. The study draws inspiration from Zhu & Gigerenzer's research in
2006, which posed the question: Can children reason the Bayesian way? In the
pursuit of answering this question, a set of 10 Bayesian reasoning problems
were presented. The results of their work revealed that children's ability to
reason effectively using Bayesian principles is contingent upon a
well-structured information representation. In this paper, we present the same
set of 10 Bayesian reasoning problems to ChatGPT. Remarkably, the results
demonstrate that ChatGPT provides the right solutions to all problems.",http://arxiv.org/pdf/2308.14732v1
2308.14731v1,cs.SE,Distilled GPT for Source Code Summarization,2023-08-28 17:34:07+00:00,"A code summary is a brief natural language description of source code.
Summaries are usually only a single sentence long, and yet form the backbone of
developer documentation. A short descriptions such as ""changes all visible
polygons to the color blue"" can give a programmer a high-level idea of what
code does without the effort of reading the code itself. Recently, products
based on Large Language Models such as ChatGPT have demonstrated a strong
ability to write these descriptions automatically. However, to use these tools,
programmers must send their code to untrusted third parties for processing
(e.g., via an API call). This loss of custody is not acceptable to many
organizations. In this paper, we present an alternative: we train an open
source model using sample output generated by GPT-3.5 in a process related to
knowledge distillation. Our model is small enough (350m parameters) to be run
on a single 16gb GPU, yet we show in our evaluation that it is large enough to
mimic GPT-3.5 on this task.",http://arxiv.org/pdf/2308.14731v1
2308.14726v1,cs.CV,PanoSwin: a Pano-style Swin Transformer for Panorama Understanding,2023-08-28 17:30:14+00:00,"In panorama understanding, the widely used equirectangular projection (ERP)
entails boundary discontinuity and spatial distortion. It severely deteriorates
the conventional CNNs and vision Transformers on panoramas. In this paper, we
propose a simple yet effective architecture named PanoSwin to learn panorama
representations with ERP. To deal with the challenges brought by
equirectangular projection, we explore a pano-style shift windowing scheme and
novel pitch attention to address the boundary discontinuity and the spatial
distortion, respectively. Besides, based on spherical distance and Cartesian
coordinates, we adapt absolute positional embeddings and relative positional
biases for panoramas to enhance panoramic geometry information. Realizing that
planar image understanding might share some common knowledge with panorama
understanding, we devise a novel two-stage learning framework to facilitate
knowledge transfer from the planar images to panoramas. We conduct experiments
against the state-of-the-art on various panoramic tasks, i.e., panoramic object
detection, panoramic classification, and panoramic layout estimation. The
experimental results demonstrate the effectiveness of PanoSwin in panorama
understanding.",http://arxiv.org/pdf/2308.14726v1
2308.14719v1,cs.AI,Hierarchical Time Series Forecasting with Bayesian Modeling,2023-08-28 17:20:47+00:00,"We encounter time series data in many domains such as finance, physics,
business, and weather. One of the main tasks of time series analysis, one that
helps to take informed decisions under uncertainty, is forecasting. Time series
are often hierarchically structured, e.g., a company sales might be broken down
into different regions, and each region into different stores. In some cases
the number of series in the hierarchy is too big to fit in a single model to
produce forecasts in relevant time, and a decentralized approach is beneficial.
  One way to do this is to train independent forecasting models for each series
and for some summary statistics series implied by the hierarchy (e.g. the sum
of all series) and to pass those models to a reconciliation algorithm to
improve those forecasts by sharing information between the series.
  In this work we focus on the reconciliation step, and propose a method to do
so from a Bayesian perspective - Bayesian forecast reconciliation. We also
define the common case of linear Gaussian reconciliation, where the forecasts
are Gaussian and the hierarchy has linear structure, and show that we can
compute reconciliation in closed form. We evaluate these methods on synthetic
and real data sets, and compare them to other work in this field.",http://arxiv.org/pdf/2308.14719v1
2308.14711v1,cs.LG,Fast Feedforward Networks,2023-08-28 17:11:41+00:00,"We break the linear link between the layer size and its inference cost by
introducing the fast feedforward (FFF) architecture, a logarithmic-time
alternative to feedforward networks.
  We show that FFFs give comparable performance to feedforward networks at an
exponential fraction of their inference cost, are quicker to deliver
performance compared to mixture-of-expert networks, and can readily take the
place of either in transformers.
  Pushing FFFs to the absolute limit, we train a vision transformer to perform
single-neuron inferences at the cost of only 5.8% performance decrease against
the full-width variant.
  Our implementation is available as a Python package; just use ""pip install
fastfeedforward"".",http://arxiv.org/pdf/2308.14711v1
2308.14710v1,cs.CV,VideoCutLER: Surprisingly Simple Unsupervised Video Instance Segmentation,2023-08-28 17:10:12+00:00,"Existing approaches to unsupervised video instance segmentation typically
rely on motion estimates and experience difficulties tracking small or
divergent motions. We present VideoCutLER, a simple method for unsupervised
multi-instance video segmentation without using motion-based learning signals
like optical flow or training on natural videos. Our key insight is that using
high-quality pseudo masks and a simple video synthesis method for model
training is surprisingly sufficient to enable the resulting video model to
effectively segment and track multiple instances across video frames. We show
the first competitive unsupervised learning results on the challenging
YouTubeVIS-2019 benchmark, achieving 50.7% APvideo^50 , surpassing the previous
state-of-the-art by a large margin. VideoCutLER can also serve as a strong
pretrained model for supervised video instance segmentation tasks, exceeding
DINO by 15.9% on YouTubeVIS-2019 in terms of APvideo.",http://arxiv.org/pdf/2308.14710v1
2308.14622v1,cs.IR,TRIVEA: Transparent Ranking Interpretation using Visual Explanation of Black-Box Algorithmic Rankers,2023-08-28 16:58:44+00:00,"Ranking schemes drive many real-world decisions, like, where to study, whom
to hire, what to buy, etc. Many of these decisions often come with high
consequences. For example, a university can be deemed less prestigious if not
featured in a top-k list, and consumers might not even explore products that do
not get recommended to buyers. At the heart of most of these decisions are
opaque ranking schemes, which dictate the ordering of data entities, but their
internal logic is inaccessible or proprietary. Drawing inferences about the
ranking differences is like a guessing game to the stakeholders, like, the
rankees (i.e., the entities who are ranked, like product companies) and the
decision-makers (i.e., who use the rankings, like buyers). In this paper, we
aim to enable transparency in ranking interpretation by using algorithmic
rankers that learn from available data and by enabling human reasoning about
the learned ranking differences using explainable AI (XAI) methods. To realize
this aim, we leverage the exploration-explanation paradigm of human-data
interaction to let human stakeholders explore subsets and groupings of complex
multi-attribute ranking data using visual explanations of model fit and
attribute influence on rankings. We realize this explanation paradigm for
transparent ranking interpretation in TRIVEA, a visual analytic system that is
fueled by: i) visualizations of model fit derived from algorithmic rankers that
learn the associations between attributes and rankings from available data and
ii) visual explanations derived from XAI methods that help abstract important
patterns, like, the relative influence of attributes in different ranking
ranges. Using TRIVEA, end users not trained in data science have the agency to
transparently reason about the global and local behavior of the rankings
without the need to open black-box ranking models and develop confidence in the
resulting attribute-based inferences. We demonstrate the efficacy of TRIVEA
using multiple usage scenarios and subjective feedback from researchers with
diverse domain expertise. Keywords: Visual Analytics, Learning-to-Rank,
Explainable ML, Ranking",http://arxiv.org/pdf/2308.14622v1
2308.14697v1,cs.HC,Assessing Trust in Construction AI-Powered Collaborative Robots using Structural Equation Modeling,2023-08-28 16:39:22+00:00,"This study aimed to investigate the key technical and psychological factors
that impact the architecture, engineering, and construction (AEC)
professionals' trust in collaborative robots (cobots) powered by artificial
intelligence (AI). The study employed a nationwide survey of 600 AEC industry
practitioners to gather in-depth responses and valuable insights into the
future opportunities for promoting the adoption, cultivation, and training of a
skilled workforce to leverage this technology effectively. A Structural
Equation Modeling (SEM) analysis revealed that safety and reliability are
significant factors for the adoption of AI-powered cobots in construction. Fear
of being replaced resulting from the use of cobots can have a substantial
effect on the mental health of the affected workers. A lower error rate in jobs
involving cobots, safety measurements, and security of data collected by cobots
from jobsites significantly impact reliability, while the transparency of
cobots' inner workings can benefit accuracy, robustness, security, privacy, and
communication, and results in higher levels of automation, all of which
demonstrated as contributors to trust. The study's findings provide critical
insights into the perceptions and experiences of AEC professionals towards
adoption of cobots in construction and help project teams determine the
adoption approach that aligns with the company's goals workers' welfare.",http://arxiv.org/pdf/2308.14697v1
