Id,Category,Title,Published,Abstract,URL
2308.16185v1,cs.RO,Learning Vision-based Pursuit-Evasion Robot Policies,2023-08-30 17:59:05+00:00,"Learning strategic robot behavior -- like that required in pursuit-evasion
interactions -- under real-world constraints is extremely challenging. It
requires exploiting the dynamics of the interaction, and planning through both
physical state and latent intent uncertainty. In this paper, we transform this
intractable problem into a supervised learning problem, where a
fully-observable robot policy generates supervision for a partially-observable
one. We find that the quality of the supervision signal for the
partially-observable pursuer policy depends on two key factors: the balance of
diversity and optimality of the evader's behavior and the strength of the
modeling assumptions in the fully-observable policy. We deploy our policy on a
physical quadruped robot with an RGB-D camera on pursuit-evasion interactions
in the wild. Despite all the challenges, the sensing constraints bring about
creativity: the robot is pushed to gather information when uncertain, predict
intent from noisy measurements, and anticipate in order to intercept. Project
webpage: https://abajcsy.github.io/vision-based-pursuit/",http://arxiv.org/pdf/2308.16185v1
2308.16175v1,cs.CL,Quantifying Uncertainty in Answers from any Language Model via Intrinsic and Extrinsic Confidence Assessment,2023-08-30 17:53:25+00:00,"We introduce BSDetector, a method for detecting bad and speculative answers
from a pretrained Large Language Model by estimating a numeric confidence score
for any output it generated. Our uncertainty quantification technique works for
any LLM accessible only via a black-box API, and combines intrinsic and
extrinsic assessments of confidence into a single trustworthiness estimate for
any LLM response to a given prompt. Our method is extremely general and can
applied to all of the best LLMs available today (whose training data remains
unknown). By expending a bit of extra computation, users of any LLM API can now
get the same response as they would ordinarily, as well as a confidence
estimate that caution when not to trust this response. Experiments on both
closed and open-form Question-Answer benchmarks reveal that BSDetector more
accurately identifies incorrect LLM responses than alternative uncertainty
estimation procedures (for both GPT-3 and ChatGPT). By sampling multiple
responses from the LLM and considering the one with the highest confidence
score, we can additionally obtain more accurate responses from the same LLM,
without any extra training steps.",http://arxiv.org/pdf/2308.16175v1
2308.16157v1,cs.LO,"Algebraic, Topological, and Mereological Foundations of Existential Granules",2023-08-30 17:22:11+00:00,"In this research, new concepts of existential granules that determine
themselves are invented, and are characterized from algebraic, topological, and
mereological perspectives. Existential granules are those that determine
themselves initially, and interact with their environment subsequently.
Examples of the concept, such as those of granular balls, though inadequately
defined, algorithmically established, and insufficiently theorized in earlier
works by others, are already used in applications of rough sets and soft
computing. It is shown that they fit into multiple theoretical frameworks
(axiomatic, adaptive, and others) of granular computing. The characterization
is intended for algorithm development, application to classification problems
and possible mathematical foundations of generalizations of the approach.
Additionally, many open problems are posed and directions provided.",http://arxiv.org/pdf/2308.16157v1
2308.16149v1,cs.CL,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,2023-08-30 17:07:17+00:00,"We introduce Jais and Jais-chat, new state-of-the-art Arabic-centric
foundation and instruction-tuned open generative large language models (LLMs).
The models are based on the GPT-3 decoder-only architecture and are pretrained
on a mixture of Arabic and English texts, including source code in various
programming languages. With 13 billion parameters, they demonstrate better
knowledge and reasoning capabilities in Arabic than any existing open Arabic
and multilingual models by a sizable margin, based on extensive evaluation.
Moreover, the models are competitive in English compared to English-centric
open models of similar size, despite being trained on much less English data.
We provide a detailed description of the training, the tuning, the safety
alignment, and the evaluation of the models. We release two open versions of
the model -- the foundation Jais model, and an instruction-tuned Jais-chat
variant -- with the aim of promoting research on Arabic LLMs. Available at
https://huggingface.co/inception-mbzuai/jais-13b-chat",http://arxiv.org/pdf/2308.16149v1
2308.16137v1,cs.CL,LM-Infinite: Simple On-the-Fly Length Generalization for Large Language Models,2023-08-30 16:47:51+00:00,"In recent years, there have been remarkable advancements in the performance
of Transformer-based Large Language Models (LLMs) across various domains. As
these LLMs are deployed for increasingly complex tasks, they often face the
needs to conduct longer reasoning processes or understanding larger contexts.
In these situations, the length generalization failure of LLMs on long
sequences become more prominent. Most pre-training schemes truncate training
sequences to a fixed length (such as 2048 for LLaMa). LLMs often struggle to
generate fluent texts, let alone carry out downstream tasks, after longer
contexts, even with relative positional encoding which is designed to cope with
this problem. Common solutions such as finetuning on longer corpora often
involves daunting hardware and time costs and requires careful training process
design. To more efficiently leverage the generation capacity of existing LLMs,
we theoretically and empirically investigate the main out-of-distribution (OOD)
factors contributing to this problem. Inspired by this diagnosis, we propose a
simple yet effective solution for on-the-fly length generalization,
LM-Infinite, which involves only a $\Lambda$-shaped attention mask and a
distance limit while requiring no parameter updates or learning. We find it
applicable to a variety of LLMs using relative-position encoding methods.
LM-Infinite is computational efficient with $O(n)$ time and space, and
demonstrates consistent fluency and generation quality to as long as 32k tokens
on ArXiv and OpenWebText2 datasets, with 2.72x decoding speedup. On downstream
task such as passkey retrieval, it continues to work on inputs much longer than
training lengths where vanilla models fail immediately.",http://arxiv.org/pdf/2308.16137v1
2308.16126v1,cs.CV,CorrEmbed: Evaluating Pre-trained Model Image Similarity Efficacy with a Novel Metric,2023-08-30 16:23:07+00:00,"Detecting visually similar images is a particularly useful attribute to look
to when calculating product recommendations. Embedding similarity, which
utilizes pre-trained computer vision models to extract high-level image
features, has demonstrated remarkable efficacy in identifying images with
similar compositions. However, there is a lack of methods for evaluating the
embeddings generated by these models, as conventional loss and performance
metrics do not adequately capture their performance in image similarity search
tasks.
  In this paper, we evaluate the viability of the image embeddings from
numerous pre-trained computer vision models using a novel approach named
CorrEmbed. Our approach computes the correlation between distances in image
embeddings and distances in human-generated tag vectors. We extensively
evaluate numerous pre-trained Torchvision models using this metric, revealing
an intuitive relationship of linear scaling between ImageNet1k accuracy scores
and tag-correlation scores. Importantly, our method also identifies deviations
from this pattern, providing insights into how different models capture
high-level image features.
  By offering a robust performance evaluation of these pre-trained models,
CorrEmbed serves as a valuable tool for researchers and practitioners seeking
to develop effective, data-driven approaches to similar item recommendations in
fashion retail.",http://arxiv.org/pdf/2308.16126v1
2308.16118v1,cs.CL,Response: Emergent analogical reasoning in large language models,2023-08-30 16:17:26+00:00,"In their recent Nature Human Behaviour paper, ""Emergent analogical reasoning
in large language models,"" (Webb, Holyoak, and Lu, 2023) the authors argue that
""large language models such as GPT-3 have acquired an emergent ability to find
zero-shot solutions to a broad range of analogy problems."" In this response, we
provide counterexamples of the letter string analogies. In our tests, GPT-3
fails to solve even the easiest variants of the problems presented in the
original paper. Zero-shot reasoning is an extraordinary claim that requires
extraordinary evidence. We do not see that evidence in our experiments. To
strengthen claims of humanlike reasoning such as zero-shot reasoning, it is
important that the field develop approaches that rule out data memorization.",http://arxiv.org/pdf/2308.16118v1
2308.16113v1,cs.LG,survex: an R package for explaining machine learning survival models,2023-08-30 16:14:20+00:00,"Due to their flexibility and superior performance, machine learning models
frequently complement and outperform traditional statistical survival models.
However, their widespread adoption is hindered by a lack of user-friendly tools
to explain their internal operations and prediction rationales. To tackle this
issue, we introduce the survex R package, which provides a cohesive framework
for explaining any survival model by applying explainable artificial
intelligence techniques. The capabilities of the proposed software encompass
understanding and diagnosing survival models, which can lead to their
improvement. By revealing insights into the decision-making process, such as
variable effects and importances, survex enables the assessment of model
reliability and the detection of biases. Thus, transparency and responsibility
may be promoted in sensitive areas, such as biomedical research and healthcare
applications.",http://arxiv.org/pdf/2308.16113v1
2308.16109v1,cs.CL,Grandma Karl is 27 years old -- research agenda for pseudonymization of research data,2023-08-30 16:04:54+00:00,"Accessibility of research data is critical for advances in many research
fields, but textual data often cannot be shared due to the personal and
sensitive information which it contains, e.g names or political opinions.
General Data Protection Regulation (GDPR) suggests pseudonymization as a
solution to secure open access to research data, but we need to learn more
about pseudonymization as an approach before adopting it for manipulation of
research data. This paper outlines a research agenda within pseudonymization,
namely need of studies into the effects of pseudonymization on unstructured
data in relation to e.g. readability and language assessment, as well as the
effectiveness of pseudonymization as a way of protecting writer identity, while
also exploring different ways of developing context-sensitive algorithms for
detection, labelling and replacement of personal information in unstructured
data. The recently granted project on pseudonymization Grandma Karl is 27 years
old addresses exactly those challenges.",http://arxiv.org/pdf/2308.16109v1
2308.16089v1,cs.LG,Application of Zone Method based Machine Learning and Physics-Informed Neural Networks in Reheating Furnaces,2023-08-30 15:26:35+00:00,"Despite the high economic relevance of Foundation Industries, certain
components like Reheating furnaces within their manufacturing chain are
energy-intensive. Notable energy consumption reduction could be obtained by
reducing the overall heating time in furnaces. Computer-integrated Machine
Learning (ML) and Artificial Intelligence (AI) powered control systems in
furnaces could be enablers in achieving the Net-Zero goals in Foundation
Industries for sustainable manufacturing.
  In this work, due to the infeasibility of achieving good quality data in
scenarios like reheating furnaces, classical Hottel's zone method based
computational model has been used to generate data for ML and Deep Learning
(DL) based model training via regression. It should be noted that the zone
method provides an elegant way to model the physical phenomenon of Radiative
Heat Transfer (RHT), the dominating heat transfer mechanism in high-temperature
processes inside heating furnaces. Using this data, an extensive comparison
among a wide range of state-of-the-art, representative ML and DL methods has
been made against their temperature prediction performances in varying furnace
environments. Owing to their holistic balance among inference times and model
performance, DL stands out among its counterparts. To further enhance the
Out-Of-Distribution (OOD) generalization capability of the trained DL models,
we propose a Physics-Informed Neural Network (PINN) by incorporating prior
physical knowledge using a set of novel Energy-Balance regularizers. Our setup
is a generic framework, is geometry-agnostic of the 3D structure of the
underlying furnace, and as such could accommodate any standard ML regression
model, to serve as a Digital Twin of the underlying physical processes, for
transitioning Foundation Industries towards Industry 4.0.",http://arxiv.org/pdf/2308.16089v1
